titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
mdp.39015050822975;Stone, Irving;The Greek treasure :  a biographical novel of Henry and Sophia Schliemann  ;Stone, Irving;The Greek Treasure: A Biographical Novel of Henry and Sophia Schliemann;1975;100;97
mdp.39015037456236;Garner, James Finn;Politically correct bedtime stories  ;Garner, James Finn;Politically Correct Bedtime Stories;1994;100;97
mdp.39015037456236;Garner, James Finn;Politically correct bedtime stories  ;Garner, James Finn;Politically Correct Bedtime Stories;1995;100;97
mdp.39015031879979;McMillan, Terry;How Stella got her groove back  ;McMillan, Terry;How Stella Got Her Groove Back;1996;100;97
mdp.39015026963218;Sagan, Françoise;Bonjour tristesse ;Sagan, Francoise;Bonjour Tristesse;1955;94;97
mdp.39015053232107;West, Morris L;Daughter of silence.;West, Morris;Daughter of Silence;1961;92;97
uva.x004639182;Fox, John;The little shepherd of Kingdom Come  ;Fox, John Jr.;The Little Shepherd of Kingdom Come;1903;82;97
uva.x004639182;Fox, John;The little shepherd of Kingdom Come  ;Fox, John Jr.;The Little Shepherd of Kingdom Come;1904;82;97
nyp.33433076089436;Goss, Charles Frederic;The redemption of David Corson  ;Goss, Charles Frederic;The Redemption of David Corson;1900;100;96
nyp.33433076080732;Thompson, Maurice;Alice of old Vincennes  ;Thompson, Maurice;Alice of Old Vincennes;1900;100;96
nyp.33433076080732;Thompson, Maurice;Alice of old Vincennes  ;Thompson, Maurice;Alice of Old Vincennes;1901;100;96
nyp.33433076045701;Michelson, Miriam;In the bishop's carriage, ;Michelson, Miriam;In the Bishop's Carriage;1904;100;96
wu.89047436936;Nicholson, Meredith;The house of a thousand candles  ;Nicholson, Meredith;The House of a Thousand Candles;1906;100;96
mdp.39015021067031;Little, Frances;The lady of the decoration, ;Little, Frances;The Lady of the Decoration;1907;100;96
nyp.33433076075609;McCutcheon, George Barr;The daughter of Anderson Crow, ;McCutcheon, George Barr;The Daughter of Anderson Crow;1907;100;96
uva.x004680499;Rives, Hallie Erminie;The kingdom of slender swords  ;Rives, Hallie Erminie;The Kingdom of Slender Swords;1910;100;96
mdp.39015059407935;Connor, Ralph;The sky pilot in no man's land  ;Connor, Ralph;The Sky Pilot in No Man's Land;1919;100;96
mdp.39015063551041;Grey, Zane;Wanderer of the wasteland, ;Grey, Zane;The Wanderer of the Wasteland;1923;100;96
mdp.39015031304689;Tarkington, Booth;Claire Ambler ;Tarkington, Booth;Claire Ambler;1928;100;96
uc1.$b323471;Brush, Katharine;Young man of Manhattan  ;Brush, Katharine;Young Man of Manhattan;1930;100;96
