titlemeta_ID;titlemeta_author;titlemeta_title;prize_author;prize_title;prize_date;ratio_author;ratio_title
mdp.39015000636111;Lewis, Sinclair;Arrowsmith  ;Lewis, Sinclair;#matchall;1930;100;29
mdp.39015011590885;Hamsun, Knut;Segelfoss town  ;Hamsun, Knut;#matchall;1920;100;8
mdp.39015005108645;Gide, André;The Vatican swindle (Les caves du Vatican) ;Gide, André;#matchall;1947;100;25
uc1.b4525413;France, Anatole;Little sea dogs,  and other tales of childhood, ;France, Anatole;#matchall;1921;100;21
uc1.b3834396;Galsworthy, John;The apple-tree and ;Galsworthy, John;#matchall;1932;100;25
mdp.39015047724508;Faulkner, William;Soldiers' pay, ;Faulkner, William;#matchall;1949;100;8
uc1.b3553038;Galsworthy, John;The novels, ta;Galsworthy, John;#matchall;1932;100;21
mdp.39015003681775;Galsworthy, John;The silver spoon, ;Galsworthy, John;#matchall;1932;100;9
uc1.b4091265;Lewis, Sinclair;Mantrap  ;Lewis, Sinclair;#matchall;1930;100;44
umn.31951001168128w;Hamsun, Knut;Rosa  ;Hamsun, Knut;#matchall;1920;100;13
mdp.39015003681452;Galsworthy, John;The Inn of tran;Galsworthy, John;#matchall;1932;100;20
mdp.39015008361134;Lewis, Sinclair;Elmer Gantry, ;Lewis, Sinclair;#matchall;1930;100;26
mdp.39015002256983;Undset, Sigrid;"The cross; ";Undset, Sigrid;#matchall;1928;100;12
mdp.39015002382888;Mann, Thomas;The magic mountain, ;Mann, Thomas;#matchall;1929;100;32
inu.30000041715560;Mann, Thomas;The magic mountain  <Der zauberberg> ;Mann, Thomas;#matchall;1929;100;19
uc1.b3755182;France, Anatole;Golden tales of Anatole France.;France, Anatole;#matchall;1921;100;20
uc1.b4098089;Galsworthy, John;Swan song, ;Galsworthy, John;#matchall;1932;100;10
uc1.32106001984563;Galsworthy, John;Two Forsyte interludes:  A silent wooing, ;Galsworthy, John;#matchall;1932;100;12
mdp.39015046378983;Undset, Sigrid;The bridal wreath, ;Undset, Sigrid;#matchall;1928;100;25
mdp.39015000583453;Undset, Sigrid;"The mistress of Husaby;  translated from the Norwegian of Sigrid Undset, ";Undset, Sigrid;#matchall;1928;100;13
mdp.39015010369224;Deledda, Grazia;"The mother, by Grazia Deledda; ";Deledda, Grazia;#matchall;1926;100;28
pst.000006746995;Galsworthy, John;Satires and a commentary.;Galsworthy, John;#matchall;1932;100;24
uc1.b3834407;Galsworthy, John;The first and the last, an;Galsworthy, John;#matchall;1932;100;26
uc1.b3834430;Galsworthy, John;A storic and other stories;Galsworthy, John;#matchall;1932;100;23
mdp.39015003344796;Faulkner, William;Sartoris  ;Faulkner, William;#matchall;1949;100;21
mdp.39015048880846;Lewis, Sinclair;Dodsworth, ;Lewis, Sinclair;#matchall;1930;100;20
mdp.39015030021797;Undset, Sigrid;The axe, ;Undset, Sigrid;#matchall;1928;100;14
mdp.39015030021789;Undset, Sigrid;The snake pit, ;Undset, Sigrid;#matchall;1928;100;20
inu.32000009374010;Hesse, Hermann;Steppenwolf. ;Hesse, Hermann;#matchall;1946;100;18
uc1.b4091425;Lewis, Sinclair;Dodsworth :  a novel  ;Lewis, Sinclair;#matchall;1930;100;26
uc1.$b318415;Gide, André;The school for wives, ;Gide, André;#matchall;1947;100;22
uc1.b3834519;Galsworthy, John;Three novels of love;Galsworthy, John;#matchall;1932;100;28
uc1.32106006000209;Undset, Sigrid;Kristin Lavra;Undset, Sigrid;#matchall;1928;100;18
pst.000022805287;Undset, Sigrid;In the wilderness.;Undset, Sigrid;#matchall;1928;100;22
mdp.39015003681882;Galsworthy, John;On Forsyte 'change, ;Galsworthy, John;#matchall;1932;100;28
uc1.$b157264;Mann, Thomas;Early sorrow. ;Mann, Thomas;#matchall;1929;100;17
mdp.39076006304096;Hamsun, Knut;Vagabonds  ;Hamsun, Knut;#matchall;1920;100;20
mdp.39015030021755;Undset, Sigrid;The son avenger, ;Undset, Sigrid;#matchall;1928;100;9
inu.32000003235852;Mann, Thomas;Mario and the magician  ;Mann, Thomas;#matchall;1929;100;30
inu.32000004611051;Galsworthy, John;Soames and the flag  ;Galsworthy, John;#matchall;1932;100;33
mdp.39076006301159;Mann, Thomas;"Buddenbrooks; tr";Mann, Thomas;#matchall;1929;100;8
mdp.39015003625624;Gide, André;The immoralist  ;Gide, André;#matchall;1947;100;29
inu.30000048939361;Faulkner, William;Sanctuary ;Faulkner, William;#matchall;1949;100;32
mdp.39015003345140;Faulkner, William;These 13 :  stories ;Faulkner, William;#matchall;1949;100;14
mdp.39015046349141;Faulkner, William;The sound and the fury  ;Faulkner, William;#matchall;1949;100;21
mdp.39015003681304;Galsworthy, John;Maid in waiting, ;Galsworthy, John;#matchall;1932;100;23
mdp.39015005090074;Hamsun, Knut;August. ;Hamsun, Knut;#matchall;1920;100;24
mdp.39015010832015;Undset, Sigrid;The wild orchid,;Undset, Sigrid;#matchall;1928;100;19
mdp.39015010258302;Galsworthy, John;Three novels of love.;Galsworthy, John;#matchall;1932;100;27
mdp.39015063837648;Spitteler, Carl;Prometheus and Epimetheus,  a prose epic, ;Spitteler, Carl;#matchall;1919;100;20
uc1.$b318416;Gide, André;Two symphonies, ;Gide, André;#matchall;1947;100;16
uc1.b4947831;France, Anatole;The romance of the Queen Pédauque  ;France, Anatole;#matchall;1921;100;25
mdp.39015003681486;Galsworthy, John;Flowering wilderness, ;Galsworthy, John;#matchall;1932;100;13
mdp.39015011306340;Undset, Sigrid;The burning bush, ;Undset, Sigrid;#matchall;1928;100;9
uc1.$b320050;Galsworthy, John;Worshipful soc;Galsworthy, John;#matchall;1932;100;17
mdp.39015003679761;Galsworthy, John;Three novels of love:  The dark flower, Beyond, Saint's progress.;Galsworthy, John;#matchall;1932;100;11
uc1.b3834423;Galsworthy, John;One more river, ;Galsworthy, John;#matchall;1932;100;8
mdp.39015000636095;Lewis, Sinclair;Ann Vickers  ;Lewis, Sinclair;#matchall;1930;100;18
uc1.$b236260;Galsworthy, John;Over the river, ;Galsworthy, John;#matchall;1932;100;16
uc1.b4020372;Sillanpää, Frans Eemil;"The maid Silja;  the history of the last offshoot of an old family tree, ";Sillanpää, Frans Eemil;#matchall;1939;100;18
mdp.39015003681585;Galsworthy, John;End of the chapter, ;Galsworthy, John;#matchall;1932;100;28
mdp.39015014519741;Lewis, Sinclair;Work of art.;Lewis, Sinclair;#matchall;1930;100;19
mdp.39015005162402;Hamsun, Knut;The road leads on  ;Hamsun, Knut;#matchall;1920;100;17
mdp.39015000646805;Faulkner, William;Pylon :  a novel  ;Faulkner, William;#matchall;1949;100;15
mdp.39015003681494;Galsworthy, John;Forsytes, Pendyces and others, ;Galsworthy, John;#matchall;1932;100;15
mdp.39015008493556;Lewis, Sinclair;"It can't happen here;  a novel, ";Lewis, Sinclair;#matchall;1930;100;24
uc1.32106006143595;Faulkner, William;Pylon,;Faulkner, William;#matchall;1949;100;13
uc1.32106010008610;Mann, Thomas;Young Joseph, ;Mann, Thomas;#matchall;1929;100;9
mdp.39015030021896;Undset, Sigrid;The longest years  ;Undset, Sigrid;#matchall;1928;100;17
uc1.b4091642;Lewis, Sinclair;Selected short stories of Sincl;Lewis, Sinclair;#matchall;1930;100;15
mdp.39015040129580;Faulkner, William;Absalom, absalom!  ;Faulkner, William;#matchall;1949;100;29
mdp.39015002702796;Undset, Sigrid;Gunnar's daughter  ;Undset, Sigrid;#matchall;1928;100;14
pst.000029139026;Mann, Thomas;Stories of three decades  ;Mann, Thomas;#matchall;1929;100;17
mdp.39015003343830;Faulkner, William;Mosquitoes  ;Faulkner, William;#matchall;1949;100;19
mdp.39015002703778;Undset, Sigrid;The faithful wife   ;Undset, Sigrid;#matchall;1928;100;32
mdp.49015001238956;Undset, Sigrid;Kristin Lavransdatter  ;Undset, Sigrid;#matchall;1928;100;12
uc1.b3711262;Lewis, Sinclair;The prodigal parents :  a novel  ;Lewis, Sinclair;#matchall;1930;100;21
mdp.39015011048025;Faulkner, William;The unvanquished  ;Faulkner, William;#matchall;1949;100;17
mdp.39015031405320;Undset, Sigrid;Images in a mirror, ;Undset, Sigrid;#matchall;1928;100;21
mdp.39015025046387;Mann, Thomas;Joseph in Egypt ... ;Mann, Thomas;#matchall;1929;100;7
mdp.39015003345124;Faulkner, William;The wild palms, ;Faulkner, William;#matchall;1949;100;19
mdp.39015066698385;Mann, Thomas;"Royal highness; ";Mann, Thomas;#matchall;1929;100;16
mdp.39015003742627;Mann, Thomas;"Joseph and his brothers; ";Mann, Thomas;#matchall;1929;100;18
mdp.39015002386103;Lewis, Sinclair;Bethel Merriday  ;Lewis, Sinclair;#matchall;1930;100;23
mdp.39015011539221;Mann, Thomas;The beloved returns  = Lotte in Weimar  ;Mann, Thomas;#matchall;1929;100;9
mdp.39015037062190;Hamsun, Knut;Look back on happiness  ;Hamsun, Knut;#matchall;1920;100;24
mdp.39015055252582;Undset, Sigrid;"Madame Dorthea ; ";Undset, Sigrid;#matchall;1928;100;38
mdp.39015038923598;Mann, Thomas;Stories and episodes from the novels. ;Mann, Thomas;#matchall;1929;100;17
uc1.32106013928996;Faulkner, William;The hamlet  ;Faulkner, William;#matchall;1949;100;35
mdp.39015008689393;Mann, Thomas;The transposed heads,  a legend of India, ;Mann, Thomas;#matchall;1929;100;17
pst.000029584307;Faulkner, William;Go down, Moses;Faulkner, William;#matchall;1949;100;9
uc1.32106002105440;Faulkner, William;Go down, Moses;Faulkner, William;#matchall;1949;100;9
mdp.39015008361126;Lewis, Sinclair;Gideon Planish :  a novel  ;Lewis, Sinclair;#matchall;1930;100;22
mdp.39015010823568;Gide, André;Lafadio's adventures  Les caves du Vatican ;Gide, André;#matchall;1947;100;15
uc1.b4091279;Lewis, Sinclair;Seven selected short stories  ;Lewis, Sinclair;#matchall;1930;100;10
mdp.39015003641076;Mann, Thomas;Joseph the provider, ;Mann, Thomas;#matchall;1929;100;13
mdp.39015048880945;Lewis, Sinclair;Cass Timberlane :  a novel of husbands and wives  ;Lewis, Sinclair;#matchall;1930;100;14
uc1.b3634598;Mann, Thomas;The tables of the law  ;Mann, Thomas;#matchall;1929;100;29
pst.000020858407;Undset, Sigrid;True and untrue :  and other Norse tales  ;Undset, Sigrid;#matchall;1928;100;20
uc1.32106002105242;Faulkner, William;The portable Faulkner, ;Faulkner, William;#matchall;1949;100;29
mdp.39015042861362;Undset, Sigrid;"Kristin Lavransdatter; ";Undset, Sigrid;#matchall;1928;100;12
uc1.32106019465316;Faulkner, William;The sound and the fury :  & As I lay dying  ;Faulkner, William;#matchall;1949;100;20
mdp.39015066057715;Lewis, Sinclair;Kingsblood royal  ;Lewis, Sinclair;#matchall;1930;100;15
mdp.39015009212237;Gide, André;The counterfeiters, ;Gide, André;#matchall;1947;100;8
mdp.39015054056737;Faulkner, William;Intruder in the dust  ;Faulkner, William;#matchall;1949;100;13
inu.30000005079904;Hesse, Hermann;Demian,  the story of a youth. ;Hesse, Hermann;#matchall;1946;100;25
uc1.32106013965824;Faulkner, William;Knight's gambit  ;Faulkner, William;#matchall;1949;100;15
mdp.39015005108728;Gide, André;Strait is the gate ;Gide, André;#matchall;1947;100;29
uc1.b3751967;Gide, André;Two symphonies: Isabelle and The pastoral symphony ;Gide, André;#matchall;1947;100;20
mdp.39015000689193;Faulkner, William;Collected stories  ;Faulkner, William;#matchall;1949;100;21
mdp.39015047734325;Faulkner, William;Light in August  ;Faulkner, William;#matchall;1949;100;15
mdp.39015005782803;Gide, André;The school for wives. Robert. Geneiève, or The unfinished confidence  ;Gide, André;#matchall;1947;100;8
mdp.39015010699232;Gide, André;The coiners. ;Gide, André;#matchall;1947;100;11
uc1.32106010847009;Mann, Thomas;"The Thomas Mann reader; ";Mann, Thomas;#matchall;1929;100;21
mdp.39015049502233;Faulkner, William;Collected stories of William Faulkner  ;Faulkner, William;#matchall;1949;100;12
uc1.32106002123112;Lewis, Sinclair;Babbitt,  b;Lewis, Sinclair;#matchall;1930;100;20
mdp.39015003344671;Faulkner, William;Knight's gambit :  six stories  ;Faulkner, William;#matchall;1949;100;10
mdp.39015008899414;Lewis, Sinclair;World so wide :  a novel  ;Lewis, Sinclair;#matchall;1930;100;11
mdp.39015002676131;Gide, André;"The counterfeiters;  with Journal of The counterfeiters. ";Gide, André;#matchall;1947;100;13
inu.32000007350582;Mann, Thomas;"The Holy Sinner; ";Mann, Thomas;#matchall;1929;100;18
mdp.39015003488916;Undset, Sigrid;The master of Hestviken  ;Undset, Sigrid;#matchall;1928;100;27
uc1.32106013788002;Undset, Sigrid;The mistress of Husaby  ;Undset, Sigrid;#matchall;1928;100;28
mdp.39015046349133;Faulkner, William;Requiem for a nun  ;Faulkner, William;#matchall;1949;100;14
uc1.b4445403;Faulkner, William;Mirrors of Chartres Street.;Faulkner, William;#matchall;1949;100;22
mdp.39015008672142;Gide, André;Lafcadio's adventures. ;Gide, André;#matchall;1947;100;19
mdp.49015000584293;Faulkner, William;New Orleans sketches, ;Faulkner, William;#matchall;1949;100;26
pst.000062820837;Gide, André;Lafcadios adventures :  by André Gide  ;Gide, André;#matchall;1947;100;12
mdp.39015017691224;Faulkner, William;A fable.;Faulkner, William;#matchall;1949;100;35
mdp.39015047512614;Faulkner, William;The Faulkner reader :  se;Faulkner, William;#matchall;1949;100;13
mdp.39015004005883;Mann, Thomas;"Death in Venice,  and seven other stories; ";Mann, Thomas;#matchall;1929;100;15
uc1.32106008980135;Mann, Thomas;"The black swan; ";Mann, Thomas;#matchall;1929;100;29
