Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Jackson, Helen Hunt;Jackson Helen Hunt;;American;American;https://en.wikipedia.org/wiki/Helen_Hunt_Jackson;American
MacDonald, George;MacDonald George;Scottish;Scottish;British;https://en.wikipedia.org/wiki/George_MacDonald;British
Lugard, Flora Louise Shaw;Lugard Flora Louise Shaw;British;British;;https://en.wikipedia.org/wiki/Flora_Shaw,_Lady_Lugard;British
Hunt, Alfred William, Mrs;Hunt Alfred William Mrs;;British;;https://en.wikipedia.org/wiki/Margaret_Raine_Hunt;British
[Gillette, Lucia Fidelia (Woolley);Woolley [Gillette;;Universalist;;https://en.wikipedia.org/wiki/L._Fidelia_Woolley_Gillette;Universalist
Claiborne, F;Claiborne F;;dystopian;;https://en.wikipedia.org/wiki/Sybil_Claiborne;dystopian
Hale, Anne G;Hale Anne G;;;;;
Fothergill, Jessie;Fothergill Jessie;;English;British;https://en.wikipedia.org/wiki/Jessie_Fothergill;British
Craik, Georgiana M. (Georgiana Marion);Georgiana Marion Craik;;British;;https://en.wikipedia.org/wiki/Georgiana_Marion_Craik;British
] [Tiernan, Mary Spear (Nicholas), Mrs;Nicholas ] [Tiernan;American;American;American;https://en.wikipedia.org/wiki/Mary_Spear_Tiernan;American
Austin, Jane G. (Jane Goodwin);Jane Goodwin Austin;American;American;American;https://en.wikipedia.org/wiki/Jane_G._Austin;American
Yonge, Charlotte M. (Charlotte Mary);Charlotte Mary Yonge;English;English;English;https://en.wikipedia.org/wiki/Charlotte_Mary_Yonge;English
Brown, T. E;Brown T. E;;;;;
Taylor, Judson R;Taylor Judson R;British;Chinese;;https://en.wikipedia.org/wiki/Hudson_Taylor;British
Wood, Ellen;Wood Ellen;English;English;;https://en.wikipedia.org/wiki/Ellen_Wood_(author);English
Pisemsky, Aleksei Feofilaktovich;Pisemsky Aleksei Feofilaktovich;;Russian;;https://en.wikipedia.org/wiki/Aleksey_Pisemsky;Russian
Oliphant;Oliphant;Scottish;Scottish;;https://en.wikipedia.org/wiki/Margaret_Oliphant;Scottish
Finley, Martha;Finley Martha;American;American;American;https://en.wikipedia.org/wiki/Martha_Finley;American
McCarthy, Justin;McCarthy Justin;;Irish;;https://en.wikipedia.org/wiki/Justin_Huntly_McCarthy;Irish
Cox, Annie;Cox Annie;;American;American;https://en.wikipedia.org/wiki/Ana_Marie_Cox;American
Sewell, Elizabeth Missing;Sewell Elizabeth Missing;;English;English;https://en.wikipedia.org/wiki/Elizabeth_Missing_Sewell;English
Aldred, W. W;Aldred W. W;;American;;https://en.wikipedia.org/wiki/Alfred_E._Neuman;American
Ingelow, Jean;Ingelow Jean;English;English;English;https://en.wikipedia.org/wiki/Jean_Ingelow;English
Coleridge, Christabel R;Coleridge Christabel R;;English;English;https://en.wikipedia.org/wiki/Christabel_Rose_Coleridge;English
Howard, Blanche Willis;Howard Blanche Willis;American;American;;https://en.wikipedia.org/wiki/Blanche_Willis_Howard;American
Castlemon, Harry;Castlemon Harry;;;;;
Ashleigh, Rose;Ashleigh Rose;;;;;
Stoddard, William Osborn;Stoddard William Osborn;American;American;;https://en.wikipedia.org/wiki/William_Stoddard;American
Grant, James;Grant James;Scottish;Scottish;;https://en.wikipedia.org/wiki/James_Grant_(1822–1887);Scottish
Werner, E;Werner E;;German;;https://en.wikipedia.org/wiki/Markus_Werner;German
Stretton, Hesba;Stretton Hesba;;English;English;https://en.wikipedia.org/wiki/Hesba_Stretton;English
Barrett, Frank;Barrett Frank;;;;https://en.wikipedia.org/wiki/Frank_Barrett_(writer);
Poynter, E. Frances (Eleanor Frances);Eleanor Frances Poynter;;American;;https://en.wikipedia.org/wiki/Eleanor_Frances_Lattimore;American
Trowbridge, J. T. (John Townsend);John Townsend Trowbridge;;American;American;https://en.wikipedia.org/wiki/John_Townsend_Trowbridge;American
Green, Anna Katharine;Green Anna Katharine;American;American;;https://en.wikipedia.org/wiki/Anna_Katharine_Green;American
Spurr, George G;Spurr George G;;;;;
Twain, Mark;Twain Mark;;American;;https://en.wikipedia.org/wiki/Mark_Twain;American
Austin, Stella;Austin Stella;;English;English;https://en.wikipedia.org/wiki/Stella_Gibbons;English
Cadwell, Clara Gertrude;Cadwell Clara Gertrude;;;;;
Rochefort, Henri;Rochefort Henri;French;French;;https://en.wikipedia.org/wiki/Victor_Henri_Rochefort,_Marquis_de_Rochefort-Luçay;French
Tibbles, Thomas Henry;Tibbles Thomas Henry;;Indians;;https://en.wikipedia.org/wiki/Thomas_Tibbles;Indians
Grant, Alexander Charles;Grant Alexander Charles;;British;;https://en.wikipedia.org/wiki/Alex_da_Kid;British
Majendie, Margaret, Lady;Majendie Margaret Lady;;;;;
Greenough, Frances Boott;Greenough Frances Boott;;;;;
Salter, Mary J;Salter Mary J;;American;;https://en.wikipedia.org/wiki/Mary_Jo_Salter;American
Greg, Percy;Greg Percy;;English;;https://en.wikipedia.org/wiki/Percy_Greg;English
[Sylvain, Adrien];Sylvain Adrien;;Canadian;;https://en.wikipedia.org/wiki/Sylvain_Bellemare;Canadian
[Rollins, Ellen Chapman (Hobbs)];Hobbs [Rollins;;;;;
Drew, Catharine, Mrs;Drew Catharine Mrs;;Irish;Irish;https://en.wikipedia.org/wiki/Catharine_Drew;Irish
Rodenberg, Julius;Rodenberg Julius;German;German;German;https://en.wikipedia.org/wiki/Julius_Rodenberg;German
Hageman, S. Miller (Samuel Miller);Samuel Miller Hageman;;;;;
Goulding, F. R. (Francis Robert);Francis Robert Goulding;;;;;
Clark, Charlotte Moon;Clark Charlotte Moon;;;;;
Palmer, Lynde;Palmer Lynde;American;American;;https://en.wikipedia.org/wiki/Mary_Louise_Peebles;American
Youngblood, Charles L;Youngblood Charles L;;American;;https://en.wikipedia.org/wiki/Charles_N._Youngblood_Jr.;American
Oliver, Grace A. (Grace Atkinson), Mrs;Grace Atkinson Oliver;;American;;https://en.wikipedia.org/wiki/Grace_A._Oliver;American
Longfellow, Henry Wadsworth;Longfellow Henry Wadsworth;American;American;;https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow;American
Burnell, W. P;Burnell W. P;;English;;https://en.wikipedia.org/wiki/Cerrie_Burnell;English
Wilkie, Franc B;Wilkie Franc B;;English;;https://en.wikipedia.org/wiki/Wilkie_Collins;English
Eddy, Daniel C[larke];Eddy Daniel Clarke;;;;https://en.wikipedia.org/wiki/Daniel_C._Eddy;
Rossetti, Dante Gabriel;Rossetti Dante Gabriel;English;English;;https://en.wikipedia.org/wiki/Dante_Gabriel_Rossetti;English
