Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Pennell, Joseph;Pennell Joseph;American;American;American;https://en.wikipedia.org/wiki/Joseph_Pennell;American
Jacobsen, J. P. (Jens Peter);Jens Peter Jacobsen;;Danish;;https://en.wikipedia.org/wiki/Jens_Peter_Jacobsen;Danish
Barras, Julius;Barras Julius;;;;;
Burnaby, Fred;Burnaby Fred;;;;;
pseud. Coverdale, Henry Standish, Sir;pseud. Coverdale Henry Standish Sir;;English Franciscan;;https://en.wikipedia.org/wiki/Henry_Standish;English Franciscan
Victor, Metta Victoria Fuller;Victor Metta Victoria Fuller;American;American;American;https://en.wikipedia.org/wiki/Metta_Victoria_Fuller_Victor;American
Arnold, Edwin, Sir;Arnold Edwin Sir;;English;English;https://en.wikipedia.org/wiki/Edwin_Arnold;English
Hugo, Victor;Hugo Victor;;French;;https://en.wikipedia.org/wiki/Victor_Hugo;French
Ward, Margaret Ketcham;Ward Margaret Ketcham;;English Catholic;;https://en.wikipedia.org/wiki/Margaret_Ward;English Catholic
Grant, Elizabeth;Grant Elizabeth;;Scottish;;https://en.wikipedia.org/wiki/Elizabeth_Grant_(diarist);Scottish
Reizenstein, Ludwig von;Reizenstein Ludwig von;;;;;
Croker, B. M. (Bithia Mary);Bithia Mary Croker;;Irish;;https://en.wikipedia.org/wiki/Bithia_Mary_Croker;Irish
Adams, E;Adams E;;American;American;https://en.wikipedia.org/wiki/Alice_Adams_(writer);American
Winslow, William Henry;Winslow William Henry;;;;;
Guiney, Louise Imogen;Guiney Louise Imogen;American;American;;https://en.wikipedia.org/wiki/Louise_Imogen_Guiney;American
Wright, Henrietta Christian;Wright Henrietta Christian;American;Henrietta Christian Wright;;https://en.wikipedia.org/wiki/Henrietta_Christian_Wright;American
Dunbar, Susan T. [from old catalog];Dunbar Susan T. from old catalog;;;;;
Wedgwood, Henry Allen;Wedgwood Henry Allen;English;English;;https://en.wikipedia.org/wiki/Henry_Allen_Wedgwood;English
Offord, Robert M;Offord Robert M;;;;;
Ewing, Juliana Horatia Gatty;Ewing Juliana Horatia Gatty;;English;English;https://en.wikipedia.org/wiki/Juliana_Horatia_Ewing;English
Ruskin, John;Ruskin John;English;English;;https://en.wikipedia.org/wiki/John_Ruskin;English
G., I. H;G. I. H;;American;American;https://en.wikipedia.org/wiki/Larry_Hama;American
Beers, Henry A. (Henry Augustin);Henry Augustin Beers;;English;;https://en.wikipedia.org/wiki/Henry_Augustin_Beers;English
Walton, D. F, Mrs;Walton D. F Mrs;;;;;
Garrett, Thomas Ellwood;Garrett Thomas Ellwood;;;;;
Kendall, Sidney C;Kendall Sidney C;;British;;https://en.wikipedia.org/wiki/To_Sir,_with_Love;British
Fullerton, Georgiana Charlotte Seveson-Gower, Lady;Fullerton Georgiana Charlotte Seveson-Gower Lady;;English;;https://en.wikipedia.org/wiki/Georgiana_Fullerton;English
Dutt, Shoshee Chunder;Dutt Shoshee Chunder;;;;;
Moore, B. P;Moore B. P;;;;https://en.wikipedia.org/wiki/Heather_B._Moore;
Hoes, Robert R;Hoes Robert R;;American;;https://en.wikipedia.org/wiki/Robert_Hoe_III;American
Pater, Walter;Pater Walter;;English;British;https://en.wikipedia.org/wiki/Walter_Pater;British
Hamlen, Georgianna;Hamlen Georgianna;;;;;
Winter, John Strange;Winter John Strange;;British;British;https://en.wikipedia.org/wiki/John_Strange_Winter;British
Paeon, Jupiter;Paeon Jupiter;;;;;
Vallès, Jules;Vallès Jules;French;French;French;https://en.wikipedia.org/wiki/Jules_Vallès;French
Fawcett, Edgar;Fawcett Edgar;American;American;;https://en.wikipedia.org/wiki/Edgar_Fawcett;American
Delany, Martin Robison;Delany Martin Robison;;Pan-African;;https://en.wikipedia.org/wiki/Martin_Delany;Pan-African
Bird, Frederick Spencer;Bird Frederick Spencer;;;;;
Walworth, Jeannette Ritchie Hadermann;Walworth Jeannette Ritchie Hadermann;American;American;American;https://en.wikipedia.org/wiki/Jeannette_H._Walworth;American
Aesop;Aesop;Greek;Greek;Greek;https://en.wikipedia.org/wiki/Aesop;Greek
Wilmot, Walter;Wilmot Walter;;American;;https://en.wikipedia.org/wiki/Walt_Wilmot;American
Viscount, Astor, William Waldorf Astor;Viscount Astor William Waldorf Astor;;American;;https://en.wikipedia.org/wiki/William_Waldorf_Astor;American
Bunce, Oliver Bell;Bunce Oliver Bell;;American;;https://en.wikipedia.org/wiki/Oliver_Bell_Bunce;American
Bennett, Emerson;Bennett Emerson;American;American;;https://en.wikipedia.org/wiki/Emerson_Bennett;American
Astor, William Waldorf Astor;Astor William Waldorf Astor;;American;;https://en.wikipedia.org/wiki/William_Waldorf_Astor;American
Porter, David D. (David Dixon);David Dixon Porter;;;;https://en.wikipedia.org/wiki/David_Dixon_Porter;
Reid, Christian;Reid Christian;American;American;;https://en.wikipedia.org/wiki/Christian_Reid;American
About, Edmond;About Edmond;;French;;https://en.wikipedia.org/wiki/Edmond_François_Valentin_About;French
Kielland, Alexander Lange;Kielland Alexander Lange;Norwegian;Norwegian;Norwegian;https://en.wikipedia.org/wiki/Alexander_Kielland;Norwegian
Louisiana;Louisiana;;;;;
Gray, Louisa M;Gray Louisa M;;;;;
Hudson, W. H. (William Henry);William Henry Hudson;;Anglo;English Argentine;https://en.wikipedia.org/wiki/William_Henry_Hudson;English Argentine
Jackman, Abi S;Jackman Abi S;;;;;
McCarthy, Justin H , (Justin Huntly);McCarthy Justin H  (Justin Huntly);;Irish;;https://en.wikipedia.org/wiki/Justin_Huntly_McCarthy;Irish
Alcock, Deborah;Alcock Deborah;;;;https://en.wikipedia.org/wiki/Deborah_Alcock;
Brew, Margaret W;Brew Margaret W;;;;;
Balzac, Honoré de;Balzac Honoré de;French;French;;https://en.wikipedia.org/wiki/Honoré_de_Balzac;French
Peile, W. O;Peile W. O;;;;https://en.wikipedia.org/wiki/Writer;
Burton, María Amparo Ruíz;Burton María Amparo Ruíz;;Mexican;Mexican;https://en.wikipedia.org/wiki/María_Ruiz_de_Burton;Mexican
Stone, Evelyn;Stone Evelyn;;;;;
Cheney, John Vance;Cheney John Vance;American;American;;https://en.wikipedia.org/wiki/John_Vance_Cheney;American
Sadlier, J, Mrs;Sadlier J Mrs;;;;;
Harland, Henry;Harland Henry;American;American;;https://en.wikipedia.org/wiki/Henry_Harland;American
Richards, James Brinsley;Richards James Brinsley;;;;;
Asbjørnsen, Peter Christen;Asbjørnsen Peter Christen;;Norwegian;;https://en.wikipedia.org/wiki/Peter_Christen_Asbjørnsen;Norwegian
Castro, Rosalía de;Castro Rosalía de;;Galician;;https://en.wikipedia.org/wiki/Rosalía_de_Castro;Galician
Briton, E. Vincent;Briton E. Vincent;;;;;
Young, Ernest A;Young Ernest A;American;American;;https://en.wikipedia.org/wiki/Ernest_P._Young;American
Reeves, Marian Calhoun Legare;Reeves Marian Calhoun Legare;;;;;
Banks, Armanda D;Banks Armanda D;;;;;
Du Boisgobey, Fortune;Du Boisgobey Fortune;;French;;https://en.wikipedia.org/wiki/Fortuné_du_Boisgobey;French
Clifford, W. K., Mrs;Clifford W. K. Mrs;;;;;
Fitch, H. P;Fitch H. P;;American;American;https://en.wikipedia.org/wiki/George_Fitch_(author);American
Van Vorst, Frederick B;Van Vorst Frederick B;;American;;https://en.wikipedia.org/wiki/Bessie_Van_Vorst;American
D'Avigdor, Elim Henry;D'Avigdor Elim Henry;;;;;
[Murfree, Mary Noailles];Murfree Mary Noailles;American;American;American;https://en.wikipedia.org/wiki/Mary_Noailles_Murfree;American
Francillon, R. E;Francillon R. E;;American;;https://en.wikipedia.org/wiki/Zelda_Fitzgerald;American
Herbert, Sarah Ann Flanders;Herbert Sarah Ann Flanders;;;;;
Orne, Philip;Orne Philip;;American;;https://en.wikipedia.org/wiki/Azor_Orne;American
Bradshaw, John;Bradshaw John;American;American;;https://en.wikipedia.org/wiki/John_Bradshaw_(author);American
Magruder, Julia;Magruder Julia;American;American;;https://en.wikipedia.org/wiki/Julia_Magruder;American
Hillary, Max;Hillary Max;;American;;https://en.wikipedia.org/wiki/Max_Boot;American
Sturgis, Julian;Sturgis Julian;American;British-American;;https://en.wikipedia.org/wiki/Julian_Sturgis;American
Gray, Arnold;Gray Arnold;;;;;
Kernahan, Coulson, Mrs;Kernahan Coulson Mrs;;English;;https://en.wikipedia.org/wiki/Coulson_Kernahan;English
Cobb, Sylvanus;Cobb Sylvanus;American;American;;https://en.wikipedia.org/wiki/Sylvanus_Cobb_Jr.;American
Gingold, H??l??ne;Gingold H??l??ne;;American;;https://en.wikipedia.org/wiki/Alfred_Gingold;American
Forde, Gertrude;Forde Gertrude;;American;;https://en.wikipedia.org/wiki/Gertrude_Stein;American
Macquoid, Katharine S. (Katharine Sarah);Katharine Sarah Macquoid;;British;;https://en.wikipedia.org/wiki/Katharine_Sarah_Macquoid;British
Brownell, Henrietta M. K;Brownell Henrietta M. K;;;;;
Keenan, Henry F. (Henry Francis);Henry Francis Keenan;;American;;https://en.wikipedia.org/wiki/Henry_Francis_Keenan;American
Sanborn, Kate;Sanborn Kate;;American;American;https://en.wikipedia.org/wiki/Kate_Sanborn;American
Smith, Boston W;Smith Boston W;;American;American;https://en.wikipedia.org/wiki/Sarah_Smith_(writer);American
Cleland, Robert;Cleland Robert;;;;;
Searing, A. E. P;Searing A. E. P;;American;American;https://en.wikipedia.org/wiki/Laura_Redden_Searing;American
Kendall, May Emma Goldworth;Kendall May Emma Goldworth;;;;;
Simcox, Edith Jemima;Simcox Edith Jemima;British;British;;https://en.wikipedia.org/wiki/Edith_Simcox;British
Houlding, John Richard;Houlding John Richard;;;;;
Frazar, Douglas;Frazar Douglas;;;;;
Moodie, Susanna;Moodie Susanna;English-Canadian;English;;https://en.wikipedia.org/wiki/Susanna_Moodie;English-Canadian
Corselius, Cornelia E;Corselius Cornelia E;;American;;https://en.wikipedia.org/wiki/Cornelia_Otis_Skinner;American
Carryl, Charles E;Carryl Charles E;;American;;https://en.wikipedia.org/wiki/Charles_E._Carryl;American
ingo, Charles A, Sir;ingo Charles A Sir;;;;;
Perry, B. F. (Benjamin Franklin);Benjamin Franklin Perry;;;;https://en.wikipedia.org/wiki/Benjamin_Franklin_Perry;
Bolton, Sarah (Knowles);Knowles Bolton;American;American;American;https://en.wikipedia.org/wiki/Sarah_Knowles_Bolton;American
Allen, Henry Francis;Allen Henry Francis;;British;;https://en.wikipedia.org/wiki/Alan_Henry;British
Haris, Amanda Bartlett;Haris Amanda Bartlett;;American;American;https://en.wikipedia.org/wiki/Amanda_Bartlett_Harris;American
Hobart-Hampden, Augustus Charles;Hobart-Hampden Augustus Charles;;English;;https://en.wikipedia.org/wiki/Augustus_Charles_Hobart-Hampden;English
Sidey, James A. (James Archibald);James Archibald Sidey;;;;https://en.wikipedia.org/wiki/James_Archibald;
Lesley, Susan I. (Susan Inches);Susan Inches Lesley;;;;;
Hazlitt, William Carew;Hazlitt William Carew;;English;;https://en.wikipedia.org/wiki/William_Carew_Hazlitt;English
Coleman, John;Coleman John;;American;American;https://en.wikipedia.org/wiki/Jonathan_Coleman_(author);American
Blanding, Stephen F;Blanding Stephen F;;;;;
Farini, G. A. (G. Antonio);G. Antonio Farini;Canadian;;;;Canadian
Tolstoy, Leo, graf;Tolstoy Leo graf;Russian;English;;https://en.wikipedia.org/wiki/Leo_Tolstoy;Russian
Howe, Thomas H;Howe Thomas H;;;;;
Blind, Mathilde;Blind Mathilde;;German;;https://en.wikipedia.org/wiki/Mathilde_Blind;German
Bridge, James Howard;Bridge James Howard;;;;;
Laing, S. (Samuel);Samuel Laing;British;British;;https://en.wikipedia.org/wiki/Samuel_Laing_(science_writer);British
Spencer, Mary Clare Wilson;Spencer Mary Clare Wilson;;American;;https://en.wikipedia.org/wiki/Mary_C._Spencer;American
Burdette, Robert J. (Robert Jones);Robert Jones Burdette;;American;;https://en.wikipedia.org/wiki/Robert_Jones_Burdette;American
Wright, Julia McNair;Wright Julia McNair;;American;American;https://en.wikipedia.org/wiki/Julia_McNair_Wright;American
Tinsley, Lily;Tinsley Lily;;;;;
Putnam, Eleanor;Putnam Eleanor;American;American;;https://en.wikipedia.org/wiki/Harriet_Bates;American
Wilkinson, Charles Allix;Wilkinson Charles Allix;;English;;https://en.wikipedia.org/wiki/Charles_Wilkinson_(cricketer);English
Sidney, Margaret;Sidney Margaret;American;American;;https://en.wikipedia.org/wiki/Harriett_Lothrop;American
Holmes, George Frederick;Holmes George Frederick;;;;https://en.wikipedia.org/wiki/George_Frederick_Holmes;
White, Betsey Ann;White Betsey Ann;;American;;https://en.wikipedia.org/wiki/Betty_White;American
De Longueville, Thomas;De Longueville Thomas;;;;;
Givins, Robert C;Givins Robert C;;American;;https://en.wikipedia.org/wiki/Bob_Givens;American
Lambert, George;Lambert George;;;;;
Waldy, Frances Helen;Waldy Frances Helen;;;;;
Lawless, Emily;Lawless Emily;Irish;Irish;;https://en.wikipedia.org/wiki/Emily_Lawless;Irish
Morris, William;Morris William;;;;https://en.wikipedia.org/wiki/Morris_Williams;
Wilcox, Ella Wheeler;Wilcox Ella Wheeler;American;American;;https://en.wikipedia.org/wiki/Ella_Wheeler_Wilcox;American
Chernyshevsky, Nikolay Gavrilovich;Chernyshevsky Nikolay Gavrilovich;Russian;Russian;Russian;https://en.wikipedia.org/wiki/Nikolay_Chernyshevsky;Russian
Ross, Joseph Carne-;Ross Joseph Carne-;;Portuguese;;https://en.wikipedia.org/wiki/Joseph_Carne-Ross;Portuguese
Newell, Charles Martin;Newell Charles Martin;;;;;
Randolph, Edmund;Randolph Edmund;;;;https://en.wikipedia.org/wiki/Edmund_Randolph;
Edler, Karl Erdmann;Edler Karl Erdmann;;;;;
Howe, E. W. (Edgar Watson);Edgar Watson Howe;American;American;;https://en.wikipedia.org/wiki/E._W._Howe;American
Wilcox, Marrion;Wilcox Marrion;;Anglo;;https://en.wikipedia.org/wiki/Marrion_Wilcox;Anglo
Scheffel, Joseph Viktor von;Scheffel Joseph Viktor von;German;German;;https://en.wikipedia.org/wiki/Joseph_Victor_von_Scheffel;German
[Tebault, Alfred George] [from old catalog];Tebault Alfred George from old catalog;;English;;https://en.wikipedia.org/wiki/Alfred_George_Gardiner;English
Brown, Helen Dawes;Brown Helen Dawes;;;;;
Lang, Andrew;Lang Andrew;Scottish;Scottish;;https://en.wikipedia.org/wiki/Andrew_Lang;Scottish
Norris, Mary Harriott;Norris Mary Harriott;;American;;https://en.wikipedia.org/wiki/Mary_Harriott_Norris;American
Rexdale, Robert;Rexdale Robert;;;;;
Gagneur, L. (Louise);Louise Gagneur;French;French;French;https://en.wikipedia.org/wiki/Marie-Louise_Gagneur;French
Vandegrift, Margaret;Vandegrift Margaret;American;American;American;https://en.wikipedia.org/wiki/Margaret_Thomson_Janvier;American
Brierley, Benjamin;Brierley Benjamin;;English;British;https://en.wikipedia.org/wiki/Benjamin_Brierley;British
Wiggin, Kate Douglas Smith;Wiggin Kate Douglas Smith;American;American;American;https://en.wikipedia.org/wiki/Kate_Douglas_Wiggin;American
Bingham, Jennie M;Bingham Jennie M;;;;;
Williams, Flora McDonald;Williams Flora McDonald;;;;;
Gr??ville, Henry;Gr??ville Henry;;French;;https://en.wikipedia.org/wiki/Henry_Gréville;French
Dowling, Geo. Thos. (George Thomas);George Thomas Dowling;;;;;
Swazey, Arthur;Swazey Arthur;;American;;https://en.wikipedia.org/wiki/Patrick_Swayze;American
Alma-Tadema, Laurence;Alma-Tadema Laurence;Dutch;Dutch;;https://en.wikipedia.org/wiki/Lawrence_Alma-Tadema;Dutch
Elwes, Alfred;Elwes Alfred;British;British;British;https://en.wikipedia.org/wiki/Alfred_Elwes;British
Bloundelle-Burton, John Edward;Bloundelle-Burton John Edward;;English;;https://en.wikipedia.org/wiki/John_Bloundelle-Burton;English
Hake, Thomas St. E;Hake Thomas St. E;;;;;
Chetwynd, Henry Wayland;Chetwynd Henry Wayland;;;;;
Harrison, Joanna;Harrison Joanna;;;;;
Hetzel, Pierre-Jules;Hetzel Pierre-Jules;French;French;;https://en.wikipedia.org/wiki/Pierre-Jules_Hetzel;French
Ford, Sallie Rochester;Ford Sallie Rochester;American;American;American;https://en.wikipedia.org/wiki/Sallie_Rochester_Ford;American
H??lek, V?_t?_zslav;H??lek V?_t?_zslav;;;;;
Matthews, Brander;Matthews Brander;;American;;https://en.wikipedia.org/wiki/Brander_Matthews;American
Smith, George Gilman;Smith George Gilman;;;;;
Ley, Beatrice;Ley Beatrice;;German;;https://en.wikipedia.org/wiki/Robert_Ley;German
Wyman, Lillie Buffum Chace;Wyman Lillie Buffum Chace;American;American;;https://en.wikipedia.org/wiki/Lillie_Buffum_Chace_Wyman;American
Butler, William Allen;Butler William Allen;American;American;;https://en.wikipedia.org/wiki/William_Allen_Butler;American
Murray, W. H. H. (William Henry Harrison);William Henry Harrison Murray;American;American;;https://en.wikipedia.org/wiki/William_Henry_Harrison_Murray;American
Reade, Amos;Reade Amos;;Hebrew;Israeli;https://en.wikipedia.org/wiki/Amos_Oz;Israeli
Griffiths, Arthur;Griffiths Arthur;;British;;https://en.wikipedia.org/wiki/Arthur_Griffiths_(author);British
Barrett, J. Pressley;Barrett J. Pressley;;Chinese;;https://en.wikipedia.org/wiki/Daniel_J._Barrett;Chinese
Roe, William James;Roe William James;American;American;;https://en.wikipedia.org/wiki/William_James_Roe;American
Trotter, Ada M;Trotter Ada M;American;American;;https://en.wikipedia.org/wiki/William_R._Trotter;American
Harwood, John Berwick;Harwood John Berwick;;English;British;https://en.wikipedia.org/wiki/John_Berwick_Harwood;British
McClelland, M. G. (Mary Greenway);Mary Greenway McClelland;American;;;;American
Gray, Maxwell;Gray Maxwell;;English;;https://en.wikipedia.org/wiki/Maxwell_Gray;English
Ferguson, Samuel, Sir;Ferguson Samuel Sir;;Irish;Irish;https://en.wikipedia.org/wiki/Samuel_Ferguson;Irish
Alcott, Louisa May;Alcott Louisa May;American;American;;https://en.wikipedia.org/wiki/Louisa_May_Alcott;American
M. Arnaud;M. Arnaud;;French;French;https://en.wikipedia.org/wiki/Georges_Arnaud;French
Corelli, Marie;Corelli Marie;;English;British;https://en.wikipedia.org/wiki/Marie_Corelli;British
King, Edward;King Edward;American;American;;https://en.wikipedia.org/wiki/Edward_King_(author);American
Berens, Louise;Berens Louise;;;;;
Hardinge, William M;Hardinge William M;;English;;https://en.wikipedia.org/wiki/William_Money_Hardinge;English
Greene, Belle C;Greene Belle C;;American;American;https://en.wikipedia.org/wiki/Belle_da_Costa_Greene;American
Grey, Oliver;Grey Oliver;;English;;https://en.wikipedia.org/wiki/Reggie_Oliver_(writer);English
Woolsey, Charles William;Woolsey Charles William;;British;English;https://en.wikipedia.org/wiki/Charles_Williams_(British_writer);English
Hardy, Arthur Sherburne;Hardy Arthur Sherburne;American;American;;https://en.wikipedia.org/wiki/Arthur_Sherburne_Hardy;American
Guernsey, Lucy Ellen;Guernsey Lucy Ellen;American;American;;https://en.wikipedia.org/wiki/Lucy_Ellen_Guernsey;American
Freeman, Mary Eleanor (Wilkins), Mrs;Wilkins Freeman;;American;American;https://en.wikipedia.org/wiki/Mary_Eleanor_Wilkins_Freeman;American
Curzon, G;Curzon G;;;;;
Buntline, Ned;Buntline Ned;;American;;https://en.wikipedia.org/wiki/Ned_Buntline;American
Howard, Jas. H. W. (James H. W.);James H. W. Howard;;American;American;https://en.wikipedia.org/wiki/James_Howard_(writer);American
Browne, J. Jemmett;Browne J. Jemmett;;;;;
Babcock, John Martin Luther;Babcock John Martin Luther;;;;;
Wilson, A. J;Wilson A. J;American;English;British;https://en.wikipedia.org/wiki/A._N._Wilson;British
Sturdy, William A;Sturdy William A;;American;;https://en.wikipedia.org/wiki/Danny_Strong;American
O'Donoghue, Power, Mrs;O'Donoghue Power Mrs;;American;;https://en.wikipedia.org/wiki/Michael_O'Donoghue;American
Boucher, Emile;Boucher Emile;;;;;
Needell, Mary Anna Lupton;Needell Mary Anna Lupton;;English;;https://en.wikipedia.org/wiki/Mary_Anna_Needell;English
Palacio Valdés, Armando;Palacio Valdés Armando;Spanish;Spanish;Spanish;https://en.wikipedia.org/wiki/Armando_Palacio_Valdés;Spanish
Tidball, Mary Langdon;Tidball Mary Langdon;;;;;
Leonhart, Rudolph;Leonhart Rudolph;;German;;https://en.wikipedia.org/wiki/Rudolf_Leonhard;German
Martin, Elizabeth Gilbert;Martin Elizabeth Gilbert;;;;;
Philips, Francis Charles;Philips Francis Charles;;British;;https://en.wikipedia.org/wiki/Francis_Charles_Philips;British
Chetwynd, Henry Wayland, Mrs;Chetwynd Henry Wayland Mrs;;;;;
O'Hanlon, Alice;O'Hanlon Alice;;;;;
Francillon, R. E. (Robert Edward);Robert Edward Francillon;;English;;https://en.wikipedia.org/wiki/Robert_Edward_Francillon;English
Author of Rare pale Margaret;Author of Rare pale Margaret;;American;;https://en.wikipedia.org/wiki/Margaret_Millar;American
Balestier, Charles Wolcott;Balestier Charles Wolcott;;;;;
Hays, Helen;Hays Helen;;American;;https://en.wikipedia.org/wiki/Helen_Hayes;American
Rowsell, Mary C;Rowsell Mary C;;English;English;https://en.wikipedia.org/wiki/Mary_Catherine_Rowsell;English
Fendall, Percy;Fendall Percy;;;;;
Holmes, M. E;Holmes M. E;;;;;
Stephens, Ann S. (Ann Sophia);Ann Sophia Stephens;American;American;American;https://en.wikipedia.org/wiki/Ann_S._Stephens;American
Reid, T. Wemyss (Thomas Wemyss);Thomas Wemyss Reid;;English;;https://en.wikipedia.org/wiki/Thomas_Wemyss_Reid;English
Keenan, Henry F;Keenan Henry F;;American;;https://en.wikipedia.org/wiki/Keenan_Wynn;American
[Talbot, Hannah Lincoln];Talbot Hannah Lincoln;;;;https://en.wikipedia.org/wiki/List_of_unproduced_Image_Comics_projects;
Lynch, Lawrence L;Lynch Lawrence L;;;;;
Halstead, Ada L;Halstead Ada L;American;American;;https://en.wikipedia.org/wiki/Halsted_Sullivan;American
Libbey, Laura Jean;Libbey Laura Jean;American;American;;https://en.wikipedia.org/wiki/Laura_Jean_Libbey;American
Shand, Alexander Innes;Shand Alexander Innes;;;;https://en.wikipedia.org/wiki/Alexander_Shand;
Coxon, Ethel;Coxon Ethel;;;;;
Heard, J. E;Heard J. E;;;;;
Crofts, John;Crofts John;;;;https://en.wikipedia.org/wiki/John_Croft;
Douglas, John;Douglas John;;;;https://en.wikipedia.org/wiki/John_E._Douglas;
Spender, Emily;Spender Emily;English;English;;https://en.wikipedia.org/wiki/Emily_Spender;English
Barnard, Hart;Barnard Hart;;British;British;https://en.wikipedia.org/wiki/B._H._Liddell_Hart;British
Moberly, A;Moberly A;English;English;;https://en.wikipedia.org/wiki/Charlotte_Anne_Moberly;English
Keyser, Arthur Louis;Keyser Arthur Louis;;;;;
Combe, Martin;Combe Martin;;;;;
Bunner, H. C. (Henry Cuyler);Henry Cuyler Bunner;American;American;;https://en.wikipedia.org/wiki/Henry_Cuyler_Bunner;American
Story, William Wetmore;Story William Wetmore;;American;;https://en.wikipedia.org/wiki/William_Wetmore_Story;American
Edwardes, Annie;Edwardes Annie;;English;;https://en.wikipedia.org/wiki/Annie_Edwards;English
Picard, George H. (George Henry);George Henry Picard;;Scottish;;https://en.wikipedia.org/wiki/George_Henry_(painter);Scottish
Frederic, Harold;Frederic Harold;American;American;;https://en.wikipedia.org/wiki/Harold_Frederic;American
Bishop, Putnam P;Bishop Putnam P;;;;https://en.wikipedia.org/wiki/John_Bishop_Putnam;
Cleadas;Cleadas;;;;https://en.wikipedia.org/wiki/List_of_ancient_Greeks;
Strong, Grace;Strong Grace;;American;;https://en.wikipedia.org/wiki/What's_So_Amazing_About_Grace?;American
Hunter, George;Hunter George;American;American;;https://en.wikipedia.org/wiki/George_Hunter_(author);American
Vereshchagin, Vasiliĭ Vasilʹevich;Vereshchagin Vasiliĭ Vasilʹevich;;Russian;Russian;https://en.wikipedia.org/wiki/Vasily_Vereshchagin;Russian
Roberts, Morley;Roberts Morley;English;English;;https://en.wikipedia.org/wiki/Morley_Roberts;English
Coffin, Charles Carleton;Coffin Charles Carleton;American;American;;https://en.wikipedia.org/wiki/Charles_Carleton_Coffin;American
Andrews, Jane;Andrews Jane;American;American;;https://en.wikipedia.org/wiki/Jane_Andrews_(author);American
Smedes, Susan Dabney;Smedes Susan Dabney;;;;https://en.wikipedia.org/wiki/Susan_Dabney_Smedes;
Diaz, Mrs. Abby Morton;Diaz Mrs. Abby Morton;;;American;https://en.wikipedia.org/wiki/Abby_Morton_Diaz;American
Andrews, Robert W;Andrews Robert W;;English;;https://en.wikipedia.org/wiki/Andrew_Roberts_(historian);English
Hill, Grace Livingston;Hill Grace Livingston;;Christian;;https://en.wikipedia.org/wiki/Grace_Livingston_Hill;Christian
Pool, Maria Louise;Pool Maria Louise;American;American;;https://en.wikipedia.org/wiki/Maria_Louise_Pool;American
Post, Mary A, Mrs;Post Mary A Mrs;;;;;
Hort, Alfred, Mrs;Hort Alfred Mrs;;;;;
Burt, Mary Elizabeth;Burt Mary Elizabeth;;;;;
Custer, Elizabeth Bacon;Custer Elizabeth Bacon;American;American;American;https://en.wikipedia.org/wiki/Elizabeth_Bacon_Custer;American
Billings, Edward C;Billings Edward C;;;;;
Humphrey, F[rances] A;Humphrey Frances A;;Anglo;;https://en.wikipedia.org/wiki/Cecil_Frances_Alexander;Anglo
Devol, George H;Devol George H;;American;;https://en.wikipedia.org/wiki/George_Devol;American
Reynardson, C. T. S. Birch (Charles Thomas Samuel Birch);Charles Thomas Samuel Birch Reynardson;;;;;
Haynes, Martin A;Haynes Martin A;;American;;https://en.wikipedia.org/wiki/Martin_Alonzo_Haynes;American
O'Conor-Eccles, Charlotte;O'Conor-Eccles Charlotte;;Irish;;https://en.wikipedia.org/wiki/Charlotte_O'Conor_Eccles;Irish
Wotton, Mabel E;Wotton Mabel E;;English;;https://en.wikipedia.org/wiki/Mabel_E._Wotton;English
McClelland, Margaret Greenway;McClelland Margaret Greenway;;;;;
L'Estrange, A. G;L'Estrange A. G;;English;;https://en.wikipedia.org/wiki/Roger_L'Estrange;English
A[nderson], E[dward] P[retot] [from old catalog];Anderson Edward Pretot from old catalog;;;;;
Saxby, Jessie Margaret Edmondston;Saxby Jessie Margaret Edmondston;;;;https://en.wikipedia.org/wiki/Jessie_Saxby;
Holley, Marietta;Holley Marietta;American;American;American;https://en.wikipedia.org/wiki/Marietta_Holley;American
Ashton, John;Ashton John;;;;https://en.wikipedia.org/wiki/John_Ashton;
Larned, Augusta;Larned Augusta;;;;;
Fontaine, Francis;Fontaine Francis;;American;;https://en.wikipedia.org/wiki/Francis_Fontaine;American
Butterworth, Hezekiah;Butterworth Hezekiah;American;American;;https://en.wikipedia.org/wiki/Hezekiah_Butterworth;American
Stinde, Julius;Stinde Julius;German;German;;https://en.wikipedia.org/wiki/Julius_Stinde;German
Boyer, J. Robert. [from old catalog];Boyer J. Robert. from old catalog;;;;;
Cameron, Verney Lovett;Cameron Verney Lovett;;English;;https://en.wikipedia.org/wiki/Verney_Lovett_Cameron;English
Freytag, Gustav;Freytag Gustav;German;German;;https://en.wikipedia.org/wiki/Gustav_Freytag;German
Korolenko, Vladimir Galaktionovich;Korolenko Vladimir Galaktionovich;Ukrainian;Russian;;https://en.wikipedia.org/wiki/Vladimir_Korolenko;Ukrainian
Bass, George F;Bass George F;;American;;https://en.wikipedia.org/wiki/George_Houston_Bass;American
Burrard, W. Dutton;Burrard W. Dutton;;;;;
McConnell, Annie Bliss;McConnell Annie Bliss;;;;;
Malot, Hector;Malot Hector;;French;;https://en.wikipedia.org/wiki/Hector_Malot;French
